Id. de problema,Descripción,Estado,Gravedad,Puntos de la historia,Ruta de acceso del proyecto,Tipo de ubicación,Ruta de acceso,Línea,Columna,Id. de incidente,Vínculo de ayuda,Nombre del ensamblado,Versión de ensamblado,Clave pública de ensamblado,Fragmento
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2796,12,M:System.Uri.#ctor(System.String),,,,,"var xlsxUrl = href.StartsWith(""http"", StringComparison.OrdinalIgnoreCase)                  ? href                  : new Uri(new Uri(sscoPageUrl), href).ToString();"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2796,12,T:System.Uri,,,,,"var xlsxUrl = href.StartsWith(""http"", StringComparison.OrdinalIgnoreCase)                  ? href                  : new Uri(new Uri(sscoPageUrl), href).ToString();"
Api.0003,Cambio de comportamiento en la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,2796,12,"M:System.Uri.#ctor(System.Uri,System.String)",,,,,"var xlsxUrl = href.StartsWith(""http"", StringComparison.OrdinalIgnoreCase)                  ? href                  : new Uri(new Uri(sscoPageUrl), href).ToString();"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,376,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_cache.Set(cacheKeyResumen, tPropResumen.Result, TimeSpan.FromMinutes(2));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,289,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_cache.Set(""sire:periodos:compras"", todosLosPeriodosCompras, TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,202,20,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_cache.Set(cacheKeyResumen, tPropResumen.Result, TimeSpan.FromMinutes(2));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,137,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_cache.Set(""sire:periodos:ventas"", todosLosPeriodosVentas, TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,112,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_cache.Set(""sire:periodos:compras:all"", compras, TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Contabilidad\SireController.cs,106,16,M:System.TimeSpan.FromMinutes(System.Double),,,,,"_cache.Set(""sire:periodos:ventas:all"", ventas, TimeSpan.FromMinutes(5));"
Api.0002,El origen no es compatible con la versión de .NET seleccionada,Active,Potential,1,FabricaHilos\FabricaHilos.csproj,File,FabricaHilos\Controllers\Seguridad\InspeccionController.cs,569,20,M:System.TimeSpan.FromSeconds(System.Double),,,,,"if (await Task.WhenAny(imgTask, Task.Delay(TimeSpan.FromSeconds(15))) == imgTask)                          await imgTask;                      else                          _logger.LogWarning(""▶▶ AgregarHallazgo: TIMEOUT guardando imagen"");"
